artist,album,track_name,release_date,popularity,genres,sub-genres,explicit,followers,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist,mood
Pitbull,Pitbull Starring In Rebelution,Hotel Room Service,2009-08-27,69,dance pop, miami hip hop,0,9899665,0OPyDgTRuIdCJ9B4bYSths,0.85,0.631,1,-8.401,1,0,0,0,126.002,237600,4,playlist_2009,1
3OH!3,WANT,DONTTRUSTME,2008-07-07,69,dance pop, electropowerpop,1,921593,5jzX4dWVQeBTtfBaXnMRt5,0.791,0.713,5,-3.742,0,0,0,0,130.012,192573,4,playlist_2009,1
Britney Spears,Circus (Deluxe Version),If U Seek Amy,2008-12-02,69,dance pop, pop,0,12056889,2hdy9Wt9qp7M7d0U3ossu2,0.717,0.587,4,-7.296,0,0,0,0,129.954,216520,4,playlist_2009,1
Various Artists,Transformers: Revenge Of The Fallen The Album,New Divide,2009-06-12,69,alternative metal, nu metal,0,22971373,6Wx88Mv6b9ofjKMKkdwOJd,0.493,0.808,5,-3.365,0,0,0,0,117.971,268613,4,playlist_2009,0
Various Artists,Hannah Montana The Movie,The Climb,2009-01-01,69,pop,,0,20128769,0V8FYVlBFuXXTIvRnMbZyS,0.327,0.588,4,-6.611,1,0,0,0,161.074,236067,4,playlist_2009,0
Michael Bublé,Crazy Love,Haven't Met You Yet,2009-10-06,69,adult standards, canadian pop,0,5775900,4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,8,-4.808,1,0,0,0,122.58,244587,4,playlist_2009,1
Lady Gaga,The Fame,Paparazzi,2008-01-01,69,art pop, dance pop,0,25686269,7Hqig8kp32q2Ire3ECQvWM,0.762,0.692,5,-3.973,0,0,0,0,114.906,208307,4,playlist_2009,0
Ne-Yo,Year Of The Gentleman (Bonus Track Edition),Mad,2008-01-01,68,dance pop, pop,0,7825791,6Hn9Uc1mMNfqChXU3txNke,0.727,0.649,0,-5.356,1,0,0,0,129.992,254533,4,playlist_2009,1
The All-American Rejects,When The World Comes Down,Gives You Hell,2008-01-01,68,modern rock, neo mellow,0,2466353,5gb9UJkh8TfrNMRYOJNbew,0.718,0.691,4,-6.44,1,0,0,0,100.008,213107,4,playlist_2009,1
Pitbull,Pitbull Starring In Rebelution,I Know You Want Me (Calle Ocho),2009-08-27,68,dance pop, miami hip hop,0,9899665,13plQdOoWSSXPRUSZc5FuM,0.817,0.733,2,-6.009,1,0,0,0,127.056,237120,4,playlist_2009,1
Shinedown,The Sound of Madness,Second Chance,2008-06-24,68,alternative metal, nu metal,0,3757322,0CwYG1UnRmOx8Q1EzElCIL,0.46,0.796,0,-4.501,0,0,0,0,100.011,222067,4,playlist_2009,0
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),Meet Me Halfway,2009-01-01,67,dance pop, pop,0,7322699,6wOYnPq1hPihRepcDClPUw,0.798,0.629,11,-6.857,0,0,0,0,130.002,284373,4,playlist_2009,0
Kelly Clarkson,All I Ever Wanted,My Life Would Suck Without You,2009-03-06,67,dance pop, pop,0,9604378,4Dm32oO01YpIubCHaAtKkN,0.526,0.882,9,-4.006,1,0,0,0,144.982,211493,4,playlist_2009,0
Beyoncé,I AM...SASHA FIERCE,Single Ladies (Put a Ring on It),2008-11-17,67,dance pop, pop,0,34011219,5R9a4t5t5O0IsznsrKPVro,0.426,0.584,1,-5.293,1,0,0,0,193.437,193213,4,playlist_2009,0
T.I.,Paper Trail,Dead And Gone,2008-09-07,67,atl hip hop, dance pop,1,4521605,7IhsLJMqdxoo7YAZjaSMru,0.713,0.746,0,-4.99,1,0,0,0,135.021,299747,4,playlist_2009,0
Jeremih,Jeremih,Birthday Sex,2009-01-01,67,chicago rap, dance pop,0,6213746,16XNk3bVCSHXN1rlwbXtHb,0.677,0.523,7,-5.603,0,0,0,0,60.019,226507,4,playlist_2009,0
Mariah Carey,Memoirs of an imperfect Angel,Obsessed,2009-09-29,67,dance pop, urban contemporary,0,8798554,3IcIIZMMS7UArJJPtEHXG8,0.742,0.468,10,-5.557,0,0,0,1,86.443,242200,4,playlist_2009,0
Nickelback,Dark Horse,If Today Was Your Last Day,2008-10-28,66,alternative metal, canadian rock,0,6198641,4QJLKU75Rg4558f4LbDBRi,0.485,0.911,3,-5.749,1,0,0,0,89.956,249067,4,playlist_2009,1
The Fray,The Fray,Never Say Never,2009-02-02,66,neo mellow, piano rock,0,3875526,57uX2vR9j9DNiANDYfXw1i,0.23,0.492,8,-5.767,1,0,0,0,160.139,256613,4,playlist_2009,0
Selena Gomez & The Scene,Kiss & Tell,Naturally,2009-01-01,66,dance pop, pop,0,8564042,1YaVmBh7EAeR54FIjuFcb5,0.605,0.902,10,-5.406,0,0,0,0,132.612,202587,4,playlist_2009,1
Jason Derulo,Jason Derulo,Whatcha Say,2010-02-24,66,dance pop, edm,0,11768818,67T6l4q3zVjC5nZZPXByU8,0.615,0.711,11,-5.507,1,0,0,0,144.036,221253,4,playlist_2009,1
OneRepublic,Waking Up,All The Right Moves,2009-01-01,66,piano rock, pop,0,15265256,5XRHGXut00SrJUFmcn2lQF,0.529,0.948,0,-3.527,1,0,0,0,146.024,238000,4,playlist_2009,1
P!nk,Funhouse (Expanded Edition),Sober,2008-10-24,66,dance pop, pop,0,14799769,733ncRLzZQT5UtSPg1QmPc,0.614,0.797,6,-4.896,1,0,0,0,90.946,251533,4,playlist_2009,0
Jamie Foxx,Intuition,Blame It,2008-12-11,65,hip hop, hip pop,1,1075554,08uGhvS5MfBk7crUCpnjva,0.673,0.614,7,-5.426,1,0,0,0,176.052,289747,4,playlist_2009,0
Rihanna,Rated R,Russian Roulette,2009-11-20,65,barbadian pop, pop,1,53901957,3rMsX63C0IZVnOT5LGYoTH,0.48,0.486,6,-5.754,0,0,0,0,80.051,227533,4,playlist_2009,0
Jason Aldean,Wide Open,Big Green Tractor,2009-04-07,65,contemporary country, country,0,5932794,4KAzYqfcijCSZa2P3etHoM,0.623,0.59,4,-5.014,1,0,0,0,137.071,204200,4,playlist_2009,1
Keri Hilson,In A Perfect World...,Knock You Down,2009-01-01,65,dance pop, hip pop,0,1877709,58FUwmyGUqkt53YPUcm7cJ,0.588,0.877,8,-4.78,1,0,0,0,155.165,326187,4,playlist_2009,1
Kasabian,West Ryder Pauper Lunatic Asylum,Fire,2009,65,alternative rock, britpop,0,1702911,0Ln5tJyLX5qusquBOtq7wf,0.525,0.742,10,-5.643,1,0,0,0,117.029,252280,4,playlist_2009,0
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),Boom Boom Pow,2009-01-01,65,dance pop, pop,1,7322699,3opVsyWVYEAFK9bJAG8Opa,0.866,0.857,9,-5.894,1,0,0,0,130.049,251440,4,playlist_2009,0
The Temper Trap,Conditions,Sweet Disposition,2009-03-24,65,modern rock,,0,679686,5RoIXwyTCdyUjpMMkk4uPd,0.531,0.821,2,-6.812,1,0,0,0,129.139,230800,4,playlist_2009,0
Cobra Starship,Hot Mess,Good Girls Go Bad (feat. Leighton Meester),2009-07-07,65,dance pop, electropop,0,494403,7kMfu3KUydmrFVGEAhjtyl,0.594,0.874,0,-3.716,1,0,0,0,119.964,196413,4,playlist_2009,1
The Script,The Script,Breakeven,2008-07-14,65,celtic rock, dance pop,0,7784726,1fyysXwSGNtMeqMBLwW3SI,0.63,0.694,10,-4.501,1,0,0,0,94.034,261427,4,playlist_2009,0
Eminem,Relapse: Refill,We Made You,2009-05-15,65,detroit hip hop, hip hop,0,67857271,4UMTp91LHhvW33ol9ZQH0Q,0.924,0.853,2,-1.203,1,0,0,0,114.003,269613,4,playlist_2009,1
Kevin Rudolf,In The City,Let It Rock,2008-01-01,64,dance pop, pop rap,1,141042,6TrNRd98WksT9Kkmx9uj6R,0.607,0.783,7,-4.41,1,0,0,0,113.172,231173,4,playlist_2009,0
Agnes,Dance Love Pop (The Love Love Love Edition),Release Me,2009-04-01,64,dance pop, electropop,0,123881,4LiJE6pqgsTX3FtukW6bNh,0.621,0.923,2,-3.124,0,0,0,0,127.973,256213,4,playlist_2009,1
Kanye West,808s & Heartbreak,Love Lockdown,2008-11-24,64,chicago rap, rap,0,19599435,1kxeWHF9PrCVZHvVskv8lg,0.76,0.524,1,-7.67,0,0,0,0,119.603,270307,4,playlist_2009,0
The Pussycat Dolls,Doll Domination (Deluxe),I Hate This Part,2008-09-23,64,dance pop, girl group,0,5361704,3tSuRiNgJmMqmYR23dCqnR,0.756,0.612,5,-4.371,1,0,0,0,111.572,218400,4,playlist_2009,0
Boys Like Girls,Love Drunk,Two Is Better Than One (feat. Taylor Swift),2009-09-07,64,neo mellow, neon pop punk,0,1135360,1MaqkdFNIKPdpQGDzme5ss,0.521,0.702,0,-5.189,1,0,0,0,127.976,242840,4,playlist_2009,0
A.R. Rahman,Jai Ho! (You Are My Destiny),Jai Ho! (You Are My Destiny),2009-01-01,64,filmi, modern bollywood,0,31061416,7Kpqjspw4Y7HrvItIRcBiW,0.657,0.941,8,-3.919,0,0,0,0,136.202,222400,4,playlist_2009,1
The xx,xx,Intro,2009-08-18,64,downtempo, dream pop,0,3868528,5VfEuwErhx6X4eaPbyBfyu,0.617,0.778,9,-8.872,0,0,1,0,100.363,127920,4,playlist_2009,0
Uncle Kracker,Happy Hour,Smile,2009-09-11,64,neo mellow, pop rock,0,650512,4ZC8hXXqu2hPcDLw9QTdtQ,0.541,0.812,4,-3.764,1,0,0,0,141.056,201627,4,playlist_2009,1
Beyoncé,I AM...SASHA FIERCE,Sweet Dreams,2008-11-14,63,dance pop, pop,0,34011219,1FKxKGONukVFXWVJxAKmlz,0.694,0.825,1,-5.986,1,0,0,0,121.949,208067,4,playlist_2009,1
The-Dream,Love Vs Money,Rockin' That Shit,2009-01-01,63,dance pop, hip hop,1,1209891,3RBGG1be9aBaSvjnw6ABkh,0.672,0.62,8,-4.865,1,0,0,0,78.005,221920,4,playlist_2009,1
The Veronicas,Hook Me Up,Untouched,2007-10-30,63,australian pop, australian talent show,0,912105,0KlahhzNb98zyN83Vwae0l,0.557,0.783,6,-4.893,0,0,0,0,177.008,255360,4,playlist_2009,0
P!nk,Funhouse (Expanded Edition),Please Don't Leave Me,2008-10-24,63,dance pop, pop,0,14799769,2gnZad0pb6QtUqMLTj2AjI,0.588,0.845,6,-4.497,1,0,0,0,138.014,231560,4,playlist_2009,1
Nickelback,Dark Horse,Gotta Be Somebody,2008-10-28,62,alternative metal, canadian rock,0,6198641,06T10fEzN8ZCcqzQZYA184,0.536,0.89,0,-5.222,1,0,0,0,115.998,252653,4,playlist_2009,0
Phoenix,Wolfgang Amadeus Phoenix,Lisztomania,2009-05-25,62,alternative dance, indie rock,0,1837363,7fmJGzyvOcbh6UANsH8Cp6,0.64,0.789,0,-6.691,1,0,0,0,97.539,241640,4,playlist_2009,0
Akon,Freedom,Beautiful,2008-01-01,62,dance pop,,0,3662283,7rv0UuxMX7CpUUwEE1jVrd,0.743,0.948,0,-4.445,0,0,0,0,130.024,312987,4,playlist_2009,1
Boys Like Girls,Love Drunk,Love Drunk,2009-09-07,62,neo mellow, neon pop punk,0,1135360,20X9OeC606XNwEtDBOym5u,0.44,0.976,10,-3.17,1,0,0,0,150.005,226707,4,playlist_2009,0
Florence + The Machine,Lungs (Deluxe Edition),You've Got The Love,2009,61,baroque pop, pop,0,6264509,6u9RqxALwkjJ1ukB1y8vuP,0.574,0.704,6,-4.72,1,0,0,0,109.999,168667,4,playlist_2009,0
Cascada,Evacuate The Dancefloor,Evacuate The Dancefloor - Radio Edit,2009,61,bubblegum dance, dance pop,0,474997,360ZhWvMnyXKYFG9Mqsm89,0.76,0.696,0,-5.811,1,0,0,0,127.029,205884,4,playlist_2009,1
Maxwell,BLACKsummers'night (2009),Pretty Wings - uncut,2009-07-07,59,contemporary r&b, funk,0,1591367,22NLm3IIR9NLG0cUYtmHMW,0.563,0.402,9,-10.496,1,0,0,0,115.561,310520,4,playlist_2009,0
Dizzee Rascal,Tongue N' Cheek,Holiday,2011-01-01,59,bassline, grime,0,434069,7rQEsMAmRB4KaXhx3xJM13,0.545,0.918,0,-1.925,1,0,0,0,117.985,220627,4,playlist_2009,1
The Prodigy,Invaders Must Die,Omen,2009-02-23,59,big beat, breakbeat,0,2208382,144adL7pGHEWRwute2wxzZ,0.545,0.953,7,-5.172,1,0,0,0,140.002,216027,4,playlist_2009,1
Soulja Boy,iSouljaBoyTellem,Turn My Swag On,2008-01-01,59,atl hip hop, chicago bop,0,1746176,6ATrsVaZT7XjkCynxM8cTS,0.546,0.712,3,-3.104,0,0,0,0,150.154,206333,4,playlist_2009,0
Asher Roth,Asleep In The Bread Aisle,I Love College,2009-01-01,58,alternative hip hop, indie pop rap,1,251474,1akgiRM3mN2nxu2AX6ACCW,0.713,0.826,8,-4.075,1,0,0,0,86.444,241933,4,playlist_2009,1
Colbie Caillat,Breakthrough (Deluxe Edition),Fallin' For You,2009,58,dance pop, neo mellow,0,2447898,1le5KVGTF1xWf2aUj7ruLy,0.644,0.834,4,-6.473,1,0,0,0,117.043,215547,4,playlist_2009,1
Tinchy Stryder,Catch 22,Number 1,2009-01-01,57,dance pop, grime,0,189173,3uRIGDDdT4tztwsOSLmjZg,0.581,0.824,0,-3.912,0,0,0,0,114.912,212773,4,playlist_2009,1
La Roux,La Roux,In For The Kill,2009,57,alternative dance, dance pop,0,635715,6yRraj2ghJiIcVbQ6Vb59Q,0.629,0.969,8,-0.276,0,0,0,0,150.01,248627,4,playlist_2009,1
Calvin Harris,Ready For The Weekend,I'm Not Alone - Radio Edit,2009-08-17,57,dance pop, edm,0,23266323,07POri5O6Xu0aVZzlvOcpy,0.597,0.684,7,-6.614,1,0,0,0,130.99,210973,4,playlist_2009,0
Alexandra Burke,Overcome,Bad Boys (feat. Flo Rida),2009,57,dance pop, europop,0,472567,0JYRNrTwUmeySRX37azvnH,0.67,0.866,1,-3.684,1,0,0,0,140.029,206480,4,playlist_2009,1
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,2010-10-05,81,dance pop, pop,0,47107712,7BqBn9nzAq8spo5e7cZ0dJ,0.635,0.841,5,-5.379,1,0,0,0,109.021,220734,4,playlist_2010,0
Eminem,Recovery,Love The Way You Lie,2010-06-18,83,detroit hip hop, hip hop,1,67857271,15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0,0,0,86.989,263373,4,playlist_2010,1
Lady Gaga,The Fame Monster (Deluxe Edition),Bad Romance,2009-11-05,81,art pop, dance pop,1,25686269,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0,0,0,119.001,294573,4,playlist_2010,1
Stromae,Cheese,Alors on danse - Radio Edit,2010-01-01,77,belgian pop, g-house,0,2913733,2GYHyAoLWpkxLVa4oYTVko,0.791,0.59,1,-9.206,0,0,0,0,119.951,206067,4,playlist_2010,1
Kesha,Animal (Expanded Edition),TiK ToK,2010-01-01,80,dance pop, pop,0,7528838,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0,0,0,120.028,199693,4,playlist_2010,1
David Guetta,One Love (Deluxe),Memories (feat. Kid Cudi),2009-08-21,67,big room, dance pop,0,25719572,4dTaAiV9xFFCxnPur9c9yL,0.561,0.87,8,-6.103,1,0,0,0,129.98,210093,4,playlist_2010,0
Taio Cruz,The Rokstarr Hits Collection,Dynamite,2010-01-01,79,dance pop, edm,0,2213612,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0,0,0,119.975,202613,4,playlist_2010,1
Rihanna,Loud (Japan Version),Only Girl (In The World),2010-01-01,82,barbadian pop, pop,0,53901957,2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0,0,0,125.911,235493,4,playlist_2010,1
Katy Perry,Teenage Dream: The Complete Confection,California Gurls,2012-03-12,74,dance pop, pop,0,25922667,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0,0,0,125.014,234653,4,playlist_2010,0
Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",2010-12-01,81,dance pop, neo mellow,0,4247850,4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0,0,0,97.012,216773,4,playlist_2010,1
Justin Bieber,My World 2.0,Baby,2010-01-01,80,canadian pop, pop,0,70765340,6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0,0,0,65.043,214240,4,playlist_2010,1
Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon,2010-10-05,80,dance pop, pop,0,47107712,161DnLWsx1i3u1JT05lzqU,0.498,0.59,1,-4.721,0,0,0,0,145.867,217867,4,playlist_2010,0
Eminem,Recovery,Not Afraid,2010-06-18,79,detroit hip hop, hip hop,1,67857271,7Ie9W94M7OjPoZVV216Xus,0.855,0.954,0,-1.19,0,0,0,0,114.635,248133,5,playlist_2010,1
Rihanna,Rated R,Rude Boy,2009-11-20,80,barbadian pop, pop,1,53901957,60jzFy6Nn4M0iD1d94oteF,0.563,0.75,11,-4.496,1,0,0,0,173.906,222920,4,playlist_2010,1
Usher,Raymond v Raymond (Expanded Edition),DJ Got Us Fallin' In Love (feat. Pitbull),2010-03-30,78,atl hip hop, contemporary r&b,0,10379380,4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0,0,0,0,119.963,220800,4,playlist_2010,1
Don Omar,Meet The Orphans,Danza Kuduro,2010-01-01,78,latin hip hop, puerto rican pop,0,8952986,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0,-4.89,1,0,0,0,88.917,198773,3,playlist_2010,1
Owl City,Ocean Eyes,Fireflies,2009-01-01,77,indietronica, pop,0,2329482,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,1,0,0,0,180.114,228347,4,playlist_2010,0
Jay Sean,All Or Nothing,Down,2009-01-01,77,dance pop, pop rap,0,1680693,6cmm1LMvZdB5zsCwX5BjqE,0.727,0.68,2,-4.498,1,0,0,0,132.012,212507,4,playlist_2010,1
Flo Rida,Only One Flo (Part 1),Club Can't Handle Me (feat. David Guetta),2010-11-24,75,dance pop, edm,0,8809849,6ebkx7Q5tTxrCxKq4GYj0Y,0.616,0.869,0,-3.911,1,0,0,0,127.966,234560,4,playlist_2010,0
Taio Cruz,The Rokstarr Hits Collection,Break Your Heart,2010-01-01,74,dance pop, edm,0,2213612,7ElF5zxOwYP4qVSWVvse3W,0.607,0.934,3,-4.217,1,0,0,0,122.01,201547,4,playlist_2010,1
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Nothin' on You (feat. Bruno Mars),2010-04-27,74,atl hip hop, dance pop,0,2076235,59dLtGBS26x7kc0rHbaPrq,0.688,0.853,10,-5.814,1,0,0,0,103.993,268320,4,playlist_2010,1
Mike Posner,31 Minutes to Takeoff,Cooler Than Me - Single Mix,2010-08-09,74,dance pop, edm,0,1337080,2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,7,-4.63,0,0,0,0,129.965,213293,4,playlist_2010,1
Rihanna,Loud (Japan Version),What's My Name?,2010-01-01,74,barbadian pop, pop,0,53901957,6DkXLzBQT7cwXmTyzAB1DJ,0.689,0.784,2,-2.972,1,0,0,0,99.954,263173,4,playlist_2010,1
Nelly,5.0,Just A Dream,2010-11-12,74,dance pop, hip hop,0,2374633,3ZdJffjzJWFimSQyxgGIxN,0.531,0.752,1,-6.161,1,0,0,0,89.917,237800,4,playlist_2010,0
Lady Gaga,The Fame Monster (Deluxe Edition),Telephone,2009-11-05,72,art pop, dance pop,0,25686269,4TCL0qqKyqsMZml0G3M9IM,0.824,0.836,3,-5.903,1,0,0,0,122.014,220640,4,playlist_2010,1
Usher,Raymond v Raymond (Expanded Edition),OMG (feat. will.i.am),2010-03-30,72,atl hip hop, contemporary r&b,0,10379380,1bM50INir8voAkVoKuvEUI,0.781,0.745,4,-5.81,0,0,0,0,129.998,269493,4,playlist_2010,0
Katy Perry,Teenage Dream,Teenage Dream,2010-01-01,72,dance pop, pop,0,25922667,5jzKL4BDMClWqRguW5qZvh,0.719,0.798,10,-4.582,1,0,0,0,120.011,227741,4,playlist_2010,1
Iyaz,Replay,Replay,2009-08-11,71,dance pop, pop rap,0,869707,5vlEg2fT4cFWAqU5QptIpQ,0.706,0.751,9,-6.323,1,0,0,0,91.031,182307,4,playlist_2010,0
Travie McCoy,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),2010-03-09,71,pop rap,,1,356629,2M9ULmQwTaTGmAdXaXpfz5,0.633,0.673,6,-6.403,0,0,0,0,86.776,211160,4,playlist_2010,1
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Airplanes (feat. Hayley Williams of Paramore),2010-04-27,73,atl hip hop, dance pop,1,2076235,6lV2MSQmRIkycDScNtrBXO,0.66,0.867,6,-4.285,0,0,0,0,93.033,180480,4,playlist_2010,0
Rihanna,Rated R,Te Amo,2009-11-20,71,barbadian pop, pop,1,53901957,4YYHgF9dWyVSor0GtrBzdf,0.567,0.707,8,-5.455,0,0,0,0,171.917,208427,4,playlist_2010,1
Trey Songz,"Passion, Pain & Pleasure (Deluxe Version)",Bottoms Up (feat. Nicki Minaj),2010-09-14,70,dance pop, hip pop,1,7156026,4AYX69oFP3UOS1CFmV9UfO,0.844,0.601,1,-5.283,1,0,0,0,73.989,242013,4,playlist_2010,0
Two Door Cinema Club,Tourist History,What You Know,2010-02-17,70,indietronica, irish rock,0,2258619,3GBApU0NuzH4hKZq4NOSdA,0.563,0.739,6,-4.239,0,0,0,0,139.0,191707,4,playlist_2010,1
Alicia Keys,The Element Of Freedom,Empire State of Mind (Part II) Broken Down,2009-12-15,70,hip pop, neo soul,0,10540783,5sra5UY6sD658OabHL3QtI,0.484,0.368,6,-7.784,1,0,0,0,92.923,216480,4,playlist_2010,0
Lady Gaga,The Fame Monster (Deluxe Edition),Alejandro,2009-11-05,71,art pop, dance pop,0,25686269,1HHeOs6zRdF8Ck58easiAY,0.623,0.793,11,-6.63,0,0,0,0,98.998,274213,4,playlist_2010,0
Chris Brown,F.A.M.E. (Expanded Edition),Deuces (feat. Tyga & Kevin McCall),2011-03-22,70,dance pop, r&b,1,18930345,6wN4nT2qy3MQc098yL3Eu9,0.692,0.736,1,-5.109,1,0,0,0,73.987,276560,4,playlist_2010,0
Young Money,We Are Young Money,BedRock,2009-01-01,69,dance pop, dirty south rap,1,2806880,3iL2l5gUqyPS6vDwJFgJTR,0.733,0.664,8,-6.163,1,0,0,0,148.005,288133,4,playlist_2010,1
Neon Trees,Habits,Animal,2010-01-01,69,indie poptimism, modern alternative rock,0,1219344,1fBl642IhJOE5U319Gy2Go,0.482,0.833,5,-5.611,1,0,0,0,148.039,212293,4,playlist_2010,1
Black Eyed Peas,The Beginning (Deluxe),The Time (Dirty Bit),2010-01-01,69,dance pop, pop,0,7322699,7vWFaMq63AwkFDhS2OAg5u,0.816,0.813,6,-7.798,0,0,0,0,127.979,307640,4,playlist_2010,0
Far East Movement,Free Wired,Like A G6,2010-01-01,69,asian american hip hop, dance pop,0,1140299,4DvhkX2ic4zWkQeWMwQ2qf,0.435,0.837,3,-8.126,1,0,0,0,124.913,216893,4,playlist_2010,1
Drake,Thank Me Later,Over,2010-01-01,69,canadian hip hop, canadian pop,1,73357492,6BdgtqiV3oXNqBikezwdvC,0.35,0.845,7,-5.614,1,0,0,0,99.643,233560,5,playlist_2010,0
Lil Wayne,I Am Not A Human Being,Right Above It,2010-01-01,68,hip hop, new orleans rap,1,13295066,1kMuU3TNQvHbqvXCWBodmP,0.376,0.841,3,-4.348,0,0,0,0,76.052,271947,4,playlist_2010,0
Kesha,Animal (Expanded Edition),Your Love Is My Drug,2010-01-01,68,dance pop, pop,0,7528838,6vc2Jq2vaGu8z326kSrw92,0.826,0.612,1,-3.891,1,0,0,0,120.057,187133,4,playlist_2010,1
Aloe Blacc,Good Things,I Need A Dollar,2010-09-28,68,neo soul, pop soul,0,701742,3oUphdZVPyrsprZ8FgbmQS,0.84,0.481,6,-7.123,0,0,0,0,95.497,243053,4,playlist_2010,1
Timbaland,Shock Value II,If We Ever Meet Again (Featuring Katy Perry),2009-01-01,68,dance pop, hip hop,0,2463625,360UM2DaiHZPRu0EsrOvMp,0.652,0.605,8,-7.371,1,0,0,0,126.091,292707,4,playlist_2010,0
Shontelle,No Gravity,Impossible,2010-01-01,68,barbadian pop, dance pop,0,685630,1T8PwF3JhIiWwBhun23RNe,0.6,0.624,8,-3.631,1,0,0,0,90.036,226533,4,playlist_2010,1
Taylor Swift,Speak Now,Back To December,2010-10-25,67,pop,,0,70367974,3DrjZArsPsoqbLzUZZV1Id,0.529,0.67,2,-4.663,1,0,0,0,141.893,293027,4,playlist_2010,0
Jay Sean,All Or Nothing,Do You Remember,2009-01-01,67,dance pop, pop rap,0,1680693,6A5NlmBCsCGbJ27jHQgKV5,0.854,0.674,11,-4.896,1,0,0,0,125.845,210800,4,playlist_2010,1
Kesha,Animal (Expanded Edition),Take It Off,2010-01-01,67,dance pop, pop,0,7528838,0WCiI0ddWiu5F2kSHgfw5S,0.729,0.675,5,-5.292,0,0,0,0,125.036,215200,4,playlist_2010,1
Edward Maya,Stereo Love,Stereo Love - Radio Edit,2010-02-02,67,dance pop, romanian house,0,212063,1AguHaKOuggrVTebp7cZEI,0.799,0.783,1,-3.896,0,0,0,0,127.041,184573,4,playlist_2010,1
Timbaland,Shock Value II,Carry Out (Featuring Justin Timberlake),2009-01-01,68,dance pop, hip hop,0,2463625,2DHc2e5bBn4UzY0ENVFrUl,0.531,0.574,10,-6.693,0,0,0,0,115.68,232467,5,playlist_2010,0
Ludacris,Battle Of The Sexes (Deluxe),My Chick Bad,2010-01-01,66,atl hip hop, dance pop,1,2552022,3bMNprrp2JDKZsGbiXpsJl,0.624,0.723,1,-6.782,1,0,0,0,84.789,216933,4,playlist_2010,1
The Band Perry,The Band Perry,If I Die Young,2010-01-01,66,contemporary country, country,0,1563353,4u26EevCNXMhlvE1xFBJwX,0.606,0.497,4,-6.611,1,0,0,0,130.739,222773,4,playlist_2010,0
Jason Derulo,Jason Derulo,Whatcha Say,2010-02-24,66,dance pop, edm,0,11768818,67T6l4q3zVjC5nZZPXByU8,0.615,0.711,11,-5.507,1,0,0,0,144.036,221253,4,playlist_2010,1
Cali Swag District,The Kickback,Teach Me How to Dougie,2011-07-12,66,pop rap,,1,85690,61LtVmmkGr8P9I2tSPvdpf,0.846,0.438,11,-4.981,1,0,0,0,85.013,237480,4,playlist_2010,1
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),Imma Be,2009-01-01,65,dance pop, pop,1,7322699,0oJMv049q8hEkes9w0L1J4,0.597,0.517,0,-6.963,1,0,0,0,92.035,257560,4,playlist_2010,0
Taylor Swift,Speak Now,Mine,2010-10-25,65,pop,,0,70367974,0dBW6ZsW8skfvoRfgeerBF,0.624,0.757,7,-2.94,1,0,0,0,121.07,230707,4,playlist_2010,1
Miley Cyrus,Can't Be Tamed,Can't Be Tamed,2010-01-01,65,pop,,0,20128769,2r6DdaSbkbwoPzuK6NjLPn,0.63,0.91,11,-2.919,0,0,0,0,116.98,168213,4,playlist_2010,1
Drake,Thank Me Later,Find Your Love,2010-01-01,65,canadian hip hop, canadian pop,0,73357492,4BycRneKmOs6MhYG9THsuX,0.627,0.614,6,-6.006,0,0,0,0,96.038,208947,4,playlist_2010,1
JAY-Z,The Blueprint 3,Young Forever,2009-09-08,65,east coast hip hop, hip hop,1,8234325,35srNkJVToAzYiZzron1FY,0.637,0.69,9,-3.214,0,0,0,0,140.329,253907,4,playlist_2010,0
